total_usage,pca_pred
661,40.144046651051525
244,439.8788888888889
180,524.6400000000001
511,524.6400000000001
361.5,249.74583333333334
517,609.9029938226497
1391,609.9029938226497
1057,598.0408333333334
316,609.9029938226497
710,609.9029938226497
241.5,382.91125
281,609.9029938226497
1441,604.5528571428573
267,604.5528571428573
455,529.4551322043969
2018.5,311.2470261437909
249,234.58869408369407
43,70.99999999999999
36.5,59.85520833333334
973,68.18660861199992
479,38.07299686114192
206,451.0083333333335
166.5,366.6072222222223
731,451.0083333333335
555.5,366.6072222222223
273,529.4551322043969
264,226.685
398.5,205.78000000000003
707,361.47356303418803
116.5,361.47356303418803
52,361.47356303418803
66,361.47356303418803
162.5,45.885000000000005
660,53.348571428571425
761,264.23
195,38.694790200008796
169.5,40.19664489921844
79,38.694790200008796
125,40.19664489921844
42.5,40.19664489921844
1392.5,170.4039285714286
214,178.56800420813306
309,709.1999999999999
198.5,182.3015178571429
115,182.3015178571429
112,111.34704140062836
98,59.49327837195485
76,59.49327837195485
52.5,18.844637966232874
43,59.49327837195485
323,44.62850857524126
173,67.1878751658193
140.5,138.47291666666666
203,22.708400627150628
217,22.708400627150628
73.5,22.708400627150628
55,67.1878751658193
681,284.2725335775336
800,284.2725335775336
34,41.736666666666665
81,61.379230769230766
398,407.1583333333334
411,477.79499999999996
217,215.57666666666665
91.5,107.22166666666666
19,93.67
42.5,16.5225
35,77.56500000000001
0,4.530995101389841
0,4.530995101389841
1,1.9915764790764796
2,1.9915764790764796
0,1.9915764790764796
3,1.9915764790764796
0,0.7715151515151568
8,0.7355844155844167
3,5.146428571428574
41,27.983333333333338
11,19.485332195378156
11,22.812578393828396
38.5,47.10583333333334
227,309.59833333333336
115,78.375
405,350.9
175,257.435
35,66.0666865693646
150,102.79268329006796
26.5,66.0666865693646
343,102.79268329006796
43,102.79268329006796
74,102.79268329006796
68,102.79268329006796
25.5,66.0666865693646
123,66.0666865693646
41,102.79268329006796
34,66.0666865693646
93,102.79268329006796
62.5,66.0666865693646
133,89.17530334066518
123.5,89.17530334066518
138,102.79268329006796
63,102.79268329006796
77,89.17530334066518
78.5,89.17530334066518
76,102.79268329006796
37.5,66.0666865693646
72,102.79268329006796
56,66.0666865693646
44,75.69500000000001
23,42.01721577220381
203,50.13333333333333
168,288.24666666666667
116,376.57166666666666
30,75.35666666666665
27,75.35666666666665
41,10.493939393939394
27.5,29.293333333333333
72,10.493939393939394
40,85.36362755476746
7.5,12.823813299449085
28,85.36362755476746
11.5,12.823813299449085
157,85.36362755476746
12.5,12.823813299449085
7,12.823813299449085
4,85.36362755476746
2.5,12.823813299449085
11,7.943333333333333
9,85.36362755476746
18.5,12.823813299449085
7,85.36362755476746
15,85.36362755476746
5,53.70056561085973
14.5,12.823813299449085
3,439.8788888888889
1.5,12.823813299449085
68.5,16.5225
146,86.95
82,104.5975
18,16.10333333333333
46,184.7866666666667
5.5,17.772050166161062
40,53.70056561085973
19,53.70056561085973
37,29.698525151911504
28.5,17.772050166161062
20,29.698525151911504
6,17.772050166161062
42,17.772050166161062
51,29.698525151911504
12,17.772050166161062
9,29.698525151911504
24,20.878333333333334
9,29.698525151911504
8,29.698525151911504
45,29.698525151911504
38.5,17.772050166161062
27,17.772050166161062
24,17.772050166161062
17.5,17.772050166161062
38,29.698525151911504
153,73.42999999999999
116.5,36.62416666666667
94,73.42999999999999
52,73.42999999999999
25,234.58869408369407
166,288.24666666666667
135.5,13.61761904761905
39,41.467499999999994
135,32.53677375799818
85,31.49919762400873
102,126.19420634920637
72,97.33
22,126.19420634920637
16.5,97.33
155,97.33
17.5,31.49919762400873
47,32.53677375799818
25,32.53677375799818
19,31.49919762400873
22.5,31.49919762400873
9,31.49919762400873
3.5,31.49919762400873
3.5,35.5852380952381
64,32.53677375799818
42,18.885952380952382
27,28.278741705694586
6,2.4750000000000005
0,24.41567126213588
0.5,2.4750000000000005
1,24.41567126213588
2,170.4039285714286
5,9.250757575757575
0.5,9.250757575757575
12,10.131904761904764
5,10.131904761904764
6,70.99999999999999
77,128.8070437287248
95,28.51
2,14.499166666666667
5,14.499166666666667
2.5,9.43875
8,14.499166666666667
31,12.583647186147186
21,12.583647186147186
21,19.09952380952381
25,19.09952380952381
88,59.50214285714286
120,27.15
84.5,164.68876262626264
17.5,164.68876262626264
26,48.30083333333334
60.5,48.30083333333334
294,282.7460784313725
128,42.885505612808245
37,25.593642099356014
72,42.885505612808245
49.5,25.593642099356014
55,42.885505612808245
40.5,25.593642099356014
44,42.885505612808245
36.5,25.593642099356014
44,42.885505612808245
27,25.593642099356014
57,42.885505612808245
47,25.593642099356014
39.5,19.96666666666667
39,36.63
30.5,19.96666666666667
15.5,45.880119047619054
48,34.735
22.5,21.893333333333334
10,21.893333333333334
7,21.893333333333334
93.5,14.072825422341674
15.5,14.072825422341674
11,26.94150287054034
9,14.072825422341674
23,26.94150287054034
14.5,95.37555555555556
41,62.27
16,38.694790200008796
12,50.75666666666667
362,226.52523809523808
134.5,68.21000000000001
25,226.52523809523808
36.5,92.94250000000001
117,158.08333333333331
46.5,92.94250000000001
41,38.07299686114192
22,8.996372332507892
11,8.996372332507892
60,38.07299686114192
31,38.07299686114192
3,38.07299686114192
21,38.07299686114192
1.5,8.996372332507892
23,10.959999999999999
287,83.46380952380953
117,20.605833333333333
18,34.309144558172115
88,34.309144558172115
17,31.49919762400873
240,34.309144558172115
44,34.309144558172115
4.5,17.772050166161062
4,31.23640894520521
2,17.772050166161062
16.5,9.84
3,9.84
16,17.772050166161062
4,31.23640894520521
10,23.59095238095238
12,23.59095238095238
22,23.59095238095238
7,17.772050166161062
6,31.23640894520521
2.5,17.772050166161062
16,31.23640894520521
9,17.772050166161062
1,17.772050166161062
2,31.23640894520521
267,38.741904761904756
10.5,25.593642099356014
5,21.25297509115378
50,43.02608585858586
5.5,25.593642099356014
5.5,25.593642099356014
20,15.091197691197692
10,9.84
10.5,25.593642099356014
33,25.593642099356014
6,21.25297509115378
25.5,25.593642099356014
18,38.07299686114192
5.5,25.593642099356014
38,38.07299686114192
55,38.07299686114192
37,25.593642099356014
47.5,250.07583333333332
6.5,16.5225
2.5,1.2429866480456142
1,1.2429866480456142
1.5,1.2429866480456142
5,4.1686311376278695
1,4.1686311376278695
1.5,1.2429866480456142
1,4.1686311376278695
4,4.1686311376278695
80,156.98285714285714
1,4.1686311376278695
0,4.1686311376278695
0,1.2429866480456142
1,4.1686311376278695
0,1.2429866480456142
0,4.1686311376278695
0,1.2429866480456142
0,0.33960678210678275
0,0.33960678210678275
1.5,2.3834523809523818
21,18.7368253968254
3.5,18.7368253968254
5,10.493939393939394
1.5,18.7368253968254
0.5,18.7368253968254
48,257.86333333333334
10,7.926666666666667
1,7.926666666666667
9,13.285584415584418
8,4.613333333333334
1,2.5888095238095246
8,4.613333333333334
3.5,9.496666666666666
5,19.51547619047619
9,4.252142857142859
2,4.252142857142859
0,1.8739812134124967
1,4.252142857142859
1,4.252142857142859
1.5,1.8739812134124967
1,1.8739812134124967
3,4.252142857142859
2,7.2997751152356525
13,7.2997751152356525
4,1.8739812134124967
2,1.8739812134124967
1.5,1.8739812134124967
5,7.2997751152356525
2,1.8739812134124967
11,7.2997751152356525
6,1.8739812134124967
1.5,1.8739812134124967
10,7.2997751152356525
2,7.2997751152356525
2.5,0.6217857142857145
32,102.47678571428574
148,102.47678571428574
0,1.9291739381899702
1,1.9291739381899702
1,1.9291739381899702
0,1.9291739381899702
0,1.9291739381899702
0,1.9291739381899702
1,2.5516905085260975
0,2.5516905085260975
0,2.5516905085260975
0,2.5516905085260975
0,2.5516905085260975
0,2.5516905085260975
0,2.5516905085260975
0,0.08439027090870148
1,0.08439027090870148
339,115.60666666666665
11,26.911196236559142
14.5,26.911196236559142
19,32.913787258718294
15,32.913787258718294
18,32.913787258718294
9,26.911196236559142
111,32.913787258718294
7,26.911196236559142
54,22.347186147186143
77,223.28249999999997
163,83.46380952380953
10.5,12.554415741447716
2,284.2725335775336
1,12.554415741447716
7.5,16.96607142857143
2,12.554415741447716
21,111.34704140062836
5.5,16.96607142857143
28,6.597499999999999
21,21.311489684228818
69,158.56
19,158.56
16.5,104.82119047619048
16,1.441666666666667
1,28.17833333333333
34,41.053095238095246
24.5,22.812578393828396
5,22.812578393828396
38.5,22.812578393828396
13,20.54154761904762
257,223.28249999999997
57,67.17621212121212
25.5,30.89821428571429
15,30.89821428571429
43.5,12.554415741447716
23,17.82529330572809
26,17.82529330572809
18,12.554415741447716
11,17.82529330572809
4,17.82529330572809
2,12.554415741447716
4,12.554415741447716
2,17.82529330572809
120,99.34761904761905
39,32.99761626425305
35,29.408479394169046
29,29.408479394169046
8,29.408479394169046
5.5,32.99761626425305
69,29.408479394169046
36,29.408479394169046
4,32.99761626425305
22.5,32.99761626425305
3.5,32.99761626425305
22.5,32.99761626425305
22.5,32.99761626425305
45,67.1878751658193
39,32.99761626425305
91,67.1878751658193
36,67.1878751658193
30.5,32.99761626425305
15,67.1878751658193
25,32.99761626425305
36,67.1878751658193
161,67.1878751658193
35,67.1878751658193
28,67.1878751658193
614,1017.6157142857143
26,193.58333333333331
6.5,17.085911989627157
26.5,17.085911989627157
12,17.085911989627157
9,17.085911989627157
85,21.41865079365079
7,45.10422702554514
6,45.10422702554514
9,37.18932202999136
10,45.10422702554514
14,45.10422702554514
10.5,37.18932202999136
3,45.10422702554514
21.5,37.18932202999136
30.5,37.18932202999136
52,45.10422702554514
96,45.10422702554514
117,45.10422702554514
126.5,8.079801766860593
87,16.01666666666667
134,50.75666666666667
1,4.599951573806678
0,0.3430389055389099
0,4.599951573806678
0,4.599951573806678
0,4.599951573806678
0,0.3430389055389099
59,9.827756184829177
1,9.827756184829177
3,9.827756184829177
12,9.827756184829177
11,9.827756184829177
7.5,3.3527378542510187
1,3.3527378542510187
16,2.4351554001554025
156,38.790000000000006
66,52.71705086580086
343,153.04000000000002
165,140.08
310,29.773333333333333
34,16.059019523360377
26.5,16.059019523360377
12,16.059019523360377
12,45.10422702554514
1.5,16.059019523360377
0,7.747999887539365
1,7.747999887539365
1,7.747999887539365
1,16.059019523360377
2,7.747999887539365
8,14.568829365079363
4,14.568829365079363
2,16.059019523360377
6,16.059019523360377
16,14.568829365079363
8,16.059019523360377
6,16.059019523360377
14,16.059019523360377
27,14.568829365079363
21,16.059019523360377
2,14.568829365079363
3,16.059019523360377
6,66.9452380952381
4,4.101176470588238
26,1.6873015873015897
3,9.742610983787454
0,9.742610983787454
1,1.6873015873015897
2,0.064931381312201
0,0.08439027090870148
0.5,0.08439027090870148
0,0.08439027090870148
0,0.064931381312201
0,0.08439027090870148
0,0.064931381312201
0,0.064931381312201
0,0.08439027090870148
0,1.3023049419116497
0,2.3732922291074616
1,1.3023049419116497
1,1.3023049419116497
1,1.3023049419116497
1,1.3023049419116497
0.5,1.3023049419116497
3,2.3732922291074616
0,1.3023049419116497
0,2.3732922291074616
0,1.3023049419116497
1,2.3732922291074616
0,1.3023049419116497
2,2.3732922291074616
0.5,1.3023049419116497
5,1.3023049419116497
3,2.3732922291074616
2.5,1.3023049419116497
0,2.3732922291074616
5.5,5.659480519480519
6,5.659480519480519
3.5,3.4904792429792466
9,11.798561113683599
11,11.798561113683599
8,11.798561113683599
1.5,2.8643312494479574
4,2.8643312494479574
10,11.798561113683599
4,2.8643312494479574
3.5,2.8643312494479574
59,73.42999999999999
40,38.741904761904756
32.5,98.82249999999999
14,11.798561113683599
8,11.798561113683599
16,14.13441923753553
31.5,9.587028176501875
12,14.13441923753553
9,14.13441923753553
58,14.13441923753553
9,14.13441923753553
2,14.13441923753553
6,9.587028176501875
5,14.13441923753553
2,9.587028176501875
45,14.13441923753553
7,14.13441923753553
7,29.637806925291926
7,16.9075
11,29.637806925291926
42,29.637806925291926
6,29.637806925291926
12,29.637806925291926
5.5,14.48695740005347
8,29.637806925291926
6,14.48695740005347
24,29.57994227994228
93,29.57994227994228
15,21.311489684228818
30,29.57994227994228
13,3.459734204793046
7,2.8643312494479574
4,3.459734204793046
61,20.6764277555067
15.5,20.6764277555067
19.5,20.6764277555067
8,52.86
8,3.459734204793046
1,2.8643312494479574
2.5,2.8643312494479574
0,2.8643312494479574
0,3.459734204793046
0,2.8643312494479574
44.5,35.73760674045738
0,0.4172681704260686
0,0.8738399031110141
23,11.798561113683599
17.5,8.064026665124912
5.5,8.064026665124912
28,11.798561113683599
17,8.064026665124912
12,8.064026665124912
11,11.798561113683599
8,11.798561113683599
49,11.798561113683599
1.5,8.064026665124912
9,11.798561113683599
1,8.064026665124912
4,11.798561113683599
4,11.798561113683599
17,11.798561113683599
21,27.253214285714286
22,173.57471722721723
14,27.253214285714286
11.5,173.57471722721723
13,27.253214285714286
13,27.253214285714286
48,27.253214285714286
9,6.505597383666364
1.5,6.084610224083922
4,6.505597383666364
1,6.084610224083922
13.5,12
5,6.505597383666364
2.5,6.084610224083922
2,6.084610224083922
48,3.459734204793046
1,3.459734204793046
1,3.459734204793046
7,14.794444444444443
5,16.656819131161235
45,66.7247619047619
5.5,10.23046734920305
13,16.656819131161235
8.5,10.23046734920305
11,16.656819131161235
8.5,10.23046734920305
25,10.23046734920305
50,58.592499999999994
6,6.505597383666364
1,6.084610224083922
4.5,6.084610224083922
34,6.505597383666364
41,34.797539682539686
39,34.797539682539686
41,34.797539682539686
4,11.798561113683599
1,11.798561113683599
20,11.798561113683599
16,8.064026665124912
11,11.798561113683599
480,111.13166666666666
32,22.561819879194882
58,21.77
79.5,22.561819879194882
16,22.561819879194882
7,32.62016808948398
14,32.62016808948398
13,22.561819879194882
17.5,22.561819879194882
58,32.62016808948398
27,32.62016808948398
11,32.62016808948398
20,22.561819879194882
67,32.62016808948398
45,32.62016808948398
34,26.31978162003977
126,32.62016808948398
24,32.62016808948398
24,32.62016808948398
12,32.62016808948398
8.5,24.32578271482351
22,32.62016808948398
5,32.62016808948398
9,24.32578271482351
7,24.32578271482351
24.5,24.32578271482351
7,24.32578271482351
73,26.94150287054034
55,26.94150287054034
34,24.32578271482351
19,26.94150287054034
306,29.698525151911504
144,29.698525151911504
8.5,24.32578271482351
0,29.698525151911504
1,24.32578271482351
13,24.32578271482351
1,24.32578271482351
55,93.53952380952381
43,152.39000000000001
4,29.698525151911504
21,29.698525151911504
17.5,40.19664489921844
3,29.698525151911504
8,57.04302882690788
19,57.04302882690788
26.5,25.79979614933232
20,47.675000000000004
2,25.79979614933232
4,29.723201288635114
3,25.79979614933232
4,25.79979614933232
39,29.723201288635114
7,29.723201288635114
4,29.723201288635114
1,25.79979614933232
9,25.79979614933232
28,25.79979614933232
18,18.68576999389499
33,18.68576999389499
76,29.723201288635114
22,29.723201288635114
77,29.723201288635114
3,29.723201288635114
30,38.694790200008796
4.5,18.68576999389499
5,17.772050166161062
11,38.694790200008796
2,17.772050166161062
101,17.772050166161062
9,38.694790200008796
6,38.694790200008796
105,17.772050166161062
61,17.772050166161062
10,17.772050166161062
69,38.694790200008796
51.5,17.772050166161062
10.5,17.772050166161062
12,17.772050166161062
13.5,17.772050166161062
18,17.772050166161062
41.5,17.772050166161062
16,38.694790200008796
9,38.694790200008796
5,17.772050166161062
6,38.694790200008796
47,38.694790200008796
65,19.7125
11,19.609523809523807
42,19.7125
4,38.694790200008796
2.5,17.772050166161062
14.5,10.418152046783629
2,10.418152046783629
18,15.146263736263734
24,9.34
16,15.146263736263734
35.5,10.418152046783629
7,15.146263736263734
4,7.333530129672016
0,4.109906759906771
0.5,4.109906759906771
17.5,4.109906759906771
3.5,4.109906759906771
3.5,4.109906759906771
5,7.333530129672016
12,5.9317982456140355
4,8.21615384615385
6,7.423978749847433
3,10.283439269376311
4,10.283439269376311
1,7.423978749847433
11,10.283439269376311
6,7.423978749847433
0,10.283439269376311
60,38.785000000000004
39.5,23.1925
29,10.283439269376311
2,10.488181818181818
1,10.488181818181818
0.5,1.2314033189033207
67,308.25954545454545
2,2.256130952380953
1,4.106746031746032
4,0.37109042101689627
2,4.106746031746032
0,0.37109042101689627
1,4.106746031746032
1,4.106746031746032
1,4.106746031746032
4,4.106746031746032
4.5,1.1835862563649076
1,4.599951573806678
3,4.599951573806678
2,4.599951573806678
3,1.1835862563649076
3.5,1.1835862563649076
2,4.599951573806678
1.5,1.1835862563649076
5,4.599951573806678
3,4.599951573806678
3,4.599951573806678
13,42.01721577220381
7.5,3.993571428571429
3.5,3.993571428571429
1,1.7145093167926078
0,1.7145093167926078
0,1.7145093167926078
0,1.7145093167926078
0,6.782053332308209
2,1.2204761904761914
0,4.531275748025583
1,1.6266851414287185
2,1.6266851414287185
2,1.6266851414287185
1,1.6266851414287185
0,1.6266851414287185
3.5,48.99594383031856
5,1.6266851414287185
2,1.6266851414287185
5,1.6266851414287185
2,7.198198720920663
3,7.198198720920663
3.5,5.6358463361911255
11,7.198198720920663
8.5,5.6358463361911255
7,7.198198720920663
5,7.198198720920663
19,7.198198720920663
15,5.6358463361911255
9,7.198198720920663
9,7.198198720920663
16,7.198198720920663
21,7.198198720920663
5,7.198198720920663
8,5.6358463361911255
3.5,2.9415521978021992
27,10.483333333333334
3.5,2.9922488622488657
23.5,5.6358463361911255
2,5.6358463361911255
17,5.6358463361911255
5,7.198198720920663
3,5.6358463361911255
1,2.9415521978021992
0.5,2.9415521978021992
9,3.5855463980464
7,3.5855463980464
3,3.5855463980464
2,2.9922488622488657
1.5,2.9922488622488657
4,3.633860028860031
13.5,2.9357982496569592
0.5,2.9357982496569592
3,9.827756184829177
4,9.827756184829177
8,9.827756184829177
8.5,2.9357982496569592
4.5,2.9357982496569592
12,9.827756184829177
3,2.9357982496569592
1.5,2.9357982496569592
11,9.827756184829177
2,2.9357982496569592
2,2.9357982496569592
0,2.4351554001554025
24,3.0647286047286086
5,8.876103063603065
0,3.0647286047286086
1,8.876103063603065
1,8.876103063603065
12,2.3834523809523818
9,4.531275748025583
16,9.2097113190415
5,9.2097113190415
33,9.2097113190415
10,9.2097113190415
2.5,4.531275748025583
3,9.2097113190415
1,4.531275748025583
1,0.6288721198156807
0,0.6288721198156807
0,0.6288721198156807
0,0.6288721198156807
2,0.6288721198156807
1,0.6288721198156807
0,0.6288721198156807
8,2.945064102564107
2,5.398333333333333
2,0.6288721198156807
52,653.4816666666667
787,312.9766666666667
6,45.45666666666666
13,30.369999999999997
7,30.369999999999997
0,1.2283714092924658
2.5,2.945064102564107
4,4.845000000000001
0,1.2283714092924658
0,2.945064102564107
4,1.2283714092924658
1,1.2283714092924658
1,0.377857142857145
2,0.8899144883828821
2,0.8899144883828821
0,0.8899144883828821
3,11.911645988420185
0,11.911645988420185
0,0.8899144883828821
0,0.6715735631397436
0,0.6715735631397436
0,0.6715735631397436
0,0.6715735631397436
0,0.6715735631397436
0,0.05576283137154121
0,0.05576283137154121
1,0.6715735631397436
2,0.5432159326181146
0,0.5432159326181146
0.5,0.05576283137154121
0,0.05576283137154121
0,0.8899144883828821
2,0.8899144883828821
0,1.6266851414287185
1,1.6266851414287185
0,0.8899144883828821
1,1.6266851414287185
1,0.8899144883828821
0,0.8899144883828821
0,1.6266851414287185
0,1.6266851414287185
1,1.6266851414287185
0,1.6266851414287185
0,1.6266851414287185
0,0.8899144883828821
0,1.6266851414287185
0,0.8899144883828821
1,1.6266851414287185
0,0.6715735631397436
0,0.6715735631397436
0,0.8899144883828821
0,0.8899144883828821
0,0.6715735631397436
1,0.8899144883828821
1,0.6715735631397436
1.5,0.8899144883828821
1,0.8899144883828821
5.5,0.8899144883828821
2,0.8899144883828821
11,0.6715735631397436
4,0.8899144883828821
2.5,0.8899144883828821
7,1.1035714285714289
3,1.1035714285714289
7,1.1035714285714289
0,9.485000000000001
0.5,2.5782924428512795
0.5,2.5782924428512795
9,9.485000000000001
61,104.07678571428573
5,38.79666666666667
3,2.789630503661882
0,2.789630503661882
1,2.789630503661882
1,2.789630503661882
3,2.789630503661882
0,1.4400068071341647
0,1.0552186774432382
3,2.6211088241587097
4,2.6211088241587097
5,2.6211088241587097
6,2.6211088241587097
1,2.6211088241587097
2,2.6211088241587097
33,2.789630503661882
21,2.789630503661882
5,2.789630503661882
2,1.0552186774432382
2,1.0552186774432382
3,1.0552186774432382
2,2.789630503661882
1,1.0552186774432382
1,1.4400068071341647
1,1.0552186774432382
0,1.0552186774432382
3,1.4400068071341647
1,1.4400068071341647
0,1.4400068071341647
2,1.4400068071341647
0,1.4400068071341647
1,1.4400068071341647
0,1.4400068071341647
0,1.4400068071341647
0,1.4400068071341647
0,1.4400068071341647
179,20.253333333333337
85,18.376775956284156
45,11.653690476190476
9,16.09166666666667
2.5,16.09166666666667
2,11.653690476190476
1.5,16.09166666666667
8,11.653690476190476
49,8.295
16,11.601337373931718
14,14.13441923753553
29,11.601337373931718
15,14.13441923753553
22,14.13441923753553
30,14.13441923753553
11,14.13441923753553
9.5,11.601337373931718
1,14.13441923753553
1,11.601337373931718
6,14.13441923753553
1,11.601337373931718
3,11.601337373931718
1,11.601337373931718
3.5,11.601337373931718
10.5,28.92115800865801
67,56.719047619047615
18,56.719047619047615
5.5,28.92115800865801
3,22.0929793151613
6,22.0929793151613
5.5,28.92115800865801
9,23.999277148024113
4,22.0929793151613
4,22.0929793151613
1,22.0929793151613
216,22.0929793151613
6,22.0929793151613
6.5,23.999277148024113
26,22.0929793151613
19.5,23.999277148024113
13,22.0929793151613
99,22.0929793151613
4,22.0929793151613
3.5,23.999277148024113
7,22.0929793151613
98,42.010952380952375
21.5,62.279999999999994
30,199.13833333333332
6,22.0929793151613
5,23.999277148024113
3.5,23.999277148024113
64,22.0929793151613
3,1.8890423781248686
2,1.8890423781248686
0,1.8890423781248686
5,5.12
4.5,44.62850857524126
1.5,44.62850857524126
0,0.406957884997702
1,0.406957884997702
0,0.406957884997702
0,0.406957884997702
0,0.406957884997702
0,0.406957884997702
1,0.406957884997702
0,0.406957884997702
83,19.144545454545455
7,3.7699028749028782
0,0.406957884997702
3,8.515595238095239
0,8.515595238095239
0,2.5782924428512795
0,1.6266851414287185
1,1.6266851414287185
1,1.6266851414287185
1,1.6266851414287185
9,1.6266851414287185
0,1.6266851414287185
0,1.6266851414287185
0,1.6266851414287185
1,1.6266851414287185
1,1.6266851414287185
2,13.749999999999996
3,16.111566630870712
1,1.6266851414287185
2,1.6266851414287185
2,1.6266851414287185
0,1.6266851414287185
5,5.482990702845554
4.5,4.033546907928075
10,4.033546907928075
8,5.457008737280555
5,4.033546907928075
19,5.457008737280555
9,4.033546907928075
17,4.033546907928075
5,5.457008737280555
2,16.01666666666667
61,184.7866666666667
4.5,11.999847613686622
6,24.773140533357253
0,4.112792207792208
0,0.588333333333335
0,2.3228266247515448
1,18.92666666666667
0,1.0658141036401502e-15
0,0.34555555555555734
0,0.34555555555555734
0,1.0658141036401502e-15
0,0.34555555555555734
0,1.0658141036401502e-15
0,0.34555555555555734
0,0.34555555555555734
0,5.457008737280555
5,373.6455555555556
16,18.680476190476192
2.5,4.033546907928075
11,5.457008737280555
1,5.457008737280555
1,4.033546907928075
1,5.457008737280555
1,5.457008737280555
113.5,17.77510204081633
4,8.303968431705368
0.5,5.482990702845554
4,8.303968431705368
1,5.482990702845554
2,8.303968431705368
10,8.303968431705368
16,14.029999999999998
6.5,5.482990702845554
62,4.098809523809524
1,4.112792207792208
2,2.7633333333333345
5,2.7633333333333345
