total_usage,med_pred
91.5,102.5
35,102.06
64,102.06
115,107.55857142857144
270.5,220.6791666666667
149.5,168.0875
237,217.69416666666666
175,168.0875
148,64.04666666666667
178,158.19083333333333
143.5,64.04666666666667
35,61.19509486346986
47,114.95261675867967
43.5,61.19509486346986
221.5,61.19509486346986
67,114.95261675867967
74,114.95261675867967
180,61.19509486346986
48,114.95261675867967
37,114.95261675867967
62.5,61.19509486346986
65,114.95261675867967
125,169.055
133,95.74838984480432
123.5,95.74838984480432
51.5,95.74838984480432
65,95.74838984480432
116,114.95261675867967
94,114.95261675867967
76,114.95261675867967
71,114.95261675867967
59,114.95261675867967
72,114.95261675867967
158,114.95261675867967
89.5,61.19509486346986
53,116.79999999999998
82,105.035
168,137.315
30,70.72666666666666
40,86.86554384341147
34,86.86554384341147
76,86.86554384341147
31,90.20166666666667
39,104.67166666666667
56.5,77.06048340548341
45,80.82074224021594
33,80.82074224021594
58,77.06048340548341
38,80.82074224021594
148,69.62738095238095
85,76.96793650793651
97,81.2275
222,116.00547619047617
155,81.2275
79.5,76.96793650793651
121.5,76.96793650793651
34,94.48743867243869
82.5,131.61999999999998
44,76.96793650793651
55.5,76.96793650793651
42,61.62773809523809
77,170.85416666666669
42,41.556969696969695
51,169.59166666666667
120,148.15333333333334
33,148.15333333333334
60.5,63.516666666666666
46.5,63.516666666666666
39.5,35.0025
62.5,114.64666666666668
39,62.35666666666666
68,71.53888888888889
40,92.08416666666668
225,75.3
139,75.3
36,62.489999999999995
77,168.7
83,133.26999999999998
46.5,64.99986808513125
172.5,119.24833333333333
34.5,76.96793650793651
267,63.86666666666666
50,74.45309523809523
50,56.47469943240454
146.5,56.1025823709744
33,56.1025823709744
64.5,56.1025823709744
46,56.1025823709744
146,78.235
92.5,78.235
44,34.315
148,102.5
48,180.42333333333335
37,66.1667565033006
37,56.20283549783551
40,66.1667565033006
113.5,119.24833333333333
51.5,119.24833333333333
81,49.24666666666666
43,48.437619047619044
80,69.03777472527472
62.5,60.52916666666666
65,69.03777472527472
180.5,108.55500000000002
197,163.9928083028083
57,72.41653846153847
57,62.65
35,62.65
59,57.47015151515152
120,90.485
36,52.593214285714296
30.5,52.227380634071814
32,52.227380634071814
91,70.51655983279605
36,70.51655983279605
43,70.51655983279605
50,52.227380634071814
69.5,52.227380634071814
35,70.51655983279605
57,52.227380634071814
74.5,52.227380634071814
58,70.51655983279605
44,52.227380634071814
57,70.51655983279605
79,70.51655983279605
51.5,57.471085858585866
57,80.83331067588327
107,57.471085858585866
42,80.83331067588327
114,73.37047619047618
86,86.3325
58.5,57.15833333333334
52,126.18999999999998
59,46.903333333333336
45,133.73916666666668
76,73.37047619047618
115,73.37047619047618
185,44.96142857142857
58,50.537222222222226
30,80.83331067588327
31,58.065
43,71.74833333333332
97,63.86666666666666
46,51.913474025974025
46,51.913474025974025
32,51.913474025974025
111,51.913474025974025
35.5,57.281547619047615
30.5,57.281547619047615
84,107.88666666666666
105,49.61222222222222
47,38.07166666666667
48,56.844920634920626
83,75.06309523809523
48,54.67166666666667
34,42.54833333333333
62.5,48.34166666666667
35,63.470822344322336
79.5,49.48198412698413
60,63.470822344322336
33,63.470822344322336
44.5,49.48198412698413
30,63.470822344322336
63,49.48198412698413
85,47.52
35,63.470822344322336
103,71.53888888888889
55,71.53888888888889
34,79.2981109168609
51,71.53888888888889
61.5,84.54142857142857
115.5,84.54142857142857
34,94.06568806193806
33,81.4085219968532
40,77.06048340548341
33,81.4085219968532
43.5,59.65500000000001
65,43.415
60,42.135000000000005
47,60.175
32,50.97333333333333
37,46.903333333333336
43,60.24499999999999
33,45.76166666666667
104,79.47599802974803
136,171.31666666666666
230.5,67.26666666666667
51.5,69.91818181818181
36.5,62.08166666666667
175,51.913474025974025
63,83.98333333333333
206,51.29833333333333
42.5,68.02916666666667
67,51.29833333333333
40,64.99986808513125
83,79.85874847374848
98,93.15125
275,62.767500000000005
44.5,64.99986808513125
47,43.46999999999999
118,110.725
299,188.08833333333337
61,68.16583333333332
33,76.28666666666666
36,43.43678571428572
76,46.766666666666666
78,74.45309523809523
50,51.73
168,111.68499999999999
45,76.28666666666666
34.5,42.28309523809524
38,51.665000000000006
94,76.28666666666666
67,79.20318181818183
70,93.52000000000001
244,100.64166666666667
69.5,43.92166666666667
182,159.12833333333333
45,55.56166666666667
92,43.95333333333333
31,53.77083333333333
31.5,52.82750000000001
36,65.90022727272726
30,65.90022727272726
30.5,38.614285714285714
31,36.16666666666667
33,52.82750000000001
70,65.90022727272726
41,50.255
47.5,55.21513888888889
49,66.21154817404818
42,63.86666666666666
46,43.10333333333333
51,43.43678571428572
44.5,43.6875
50.5,53.30833333333334
38,74.6686092681473
64.5,74.6686092681473
171,57.173602484472056
32.5,74.6686092681473
40,57.173602484472056
50,57.173602484472056
43.5,74.6686092681473
81,56.47469943240454
52,56.47469943240454
35.5,74.6686092681473
38,74.6686092681473
34,56.47469943240454
35.5,62.51281577912391
40,70.51655983279605
141,62.51281577912391
68,70.51655983279605
60,70.51655983279605
46,62.51281577912391
30.5,62.51281577912391
81,70.51655983279605
41,62.51281577912391
39.5,62.51281577912391
142,70.51655983279605
120,62.51281577912391
96,70.51655983279605
38,70.51655983279605
91,70.51655983279605
57,70.51655983279605
46,62.51281577912391
52,70.51655983279605
49,70.51655983279605
35,62.51281577912391
32.5,67.1675
47,43.98166666666667
34,43.98166666666667
40,45.162261904761905
60,45.162261904761905
71,45.162261904761905
47,45.162261904761905
47,63.43333333333334
71,67.4375
35,51.65269230769231
127,90.80326199164702
107,70.37125673400674
131,70.37125673400674
67,90.80326199164702
44,70.37125673400674
50,90.80326199164702
59,90.80326199164702
43,70.37125673400674
134,90.80326199164702
92,90.80326199164702
40,90.80326199164702
100,89.76104603929494
41,81.00628787878789
82,76.55819624819625
50.5,76.55819624819625
36,89.76104603929494
111,89.76104603929494
165,76.55819624819625
291,89.76104603929494
208,76.55819624819625
97,76.55819624819625
52.5,76.55819624819625
94,75.64
125,75.64
47.5,69.3034697940948
140,86.86554384341147
83,86.86554384341147
96.5,59.28928571428571
52,81.4085219968532
69,81.4085219968532
73,51.27333333333333
37,81.83833333333332
51,78.69859890109889
96,78.69859890109889
132,91.08469936721869
30,91.08469936721869
78,91.08469936721869
31,43.957499999999996
82,78.69859890109889
33,56.1025823709744
34.5,56.1025823709744
44,67.40261968958472
49.5,79.47599802974803
54,79.47599802974803
30,67.40261968958472
43,79.47599802974803
157,67.40261968958472
73.5,79.47599802974803
55.5,79.47599802974803
30.5,58.73491511348129
80,56.989999999999995
61,73.73083333333332
45,39.288333333333334
39.5,52.11032051282051
41,45.80416666666667
31,37.332857142857144
67,48.574679487179495
36,116.82666666666664
33,52.00416666666668
40,52.00416666666668
33,52.00416666666668
34,35.28666666666667
45,44.99011904761905
54.5,57.083333333333336
34,37.41666666666667
34,57.281547619047615
211,71.91999999999999
